mem size init: gart size :1fdff000 vram size: s:40000000 visible:f8ca000
mem size init: gart size :509Mbytes vram size: s:1024Mbytes visible:248Mbytes
00000000	00000007	00000000	00000001
00000001	00000007	00010001	00000005
00000000	00000007	00020002	00000059
00000001	00000007	00030003	0000005d
00000000	00000007	00040004	000000b1
00000001	00000007	00050005	000000b5
00000000	00000007	00060006	00000109
00000001	00000007	00070007	0000010d
00000000	00000007	00080008	00000161
00000001	00000007	00090009	00000165
00000000	00000007	000a000a	000001b9
00000001	00000007	000b000b	000001bd
00000000	00000007	000c000c	00000211
00000001	00000007	000d000d	00000215
00000000	00000007	000e000e	00000269
00000001	00000007	000f000f	0000026d
01000001	00010007	00000010	0000000e
01000000	00010007	00010011	00000012
01000001	00010007	00020012	00000066
01000000	00010007	00030013	0000006a
01000001	00010007	00040014	000000be
01000000	00010007	00050015	000000c2
01000001	00010007	00060016	00000116
01000000	00010007	00070017	0000011a
01000001	00010007	00080018	0000016e
01000000	00010007	00090019	00000172
01000001	00010007	000a001a	000001c6
01000000	00010007	000b001b	000001ca
01000001	00010007	000c001c	0000021e
01000000	00010007	000d001d	00000222
01000001	00010007	000e001e	00000276
01000000	00010007	000f001f	0000027a
02000001	00020007	00000020	0000001f
02000000	00020007	00010021	00000023
02000001	00020007	00020022	00000077
02000000	00020007	00030023	0000007b
02000001	00020007	00040024	000000cf
02000000	00020007	00050025	000000d3
02000001	00020007	00060026	00000127
02000000	00020007	00070027	0000012b
02000001	00020007	00080028	0000017f
02000000	00020007	00090029	00000183
02000001	00020007	000a002a	000001d7
02000000	00020007	000b002b	000001db
02000001	00020007	000c002c	0000022f
02000000	00020007	000d002d	00000233
02000001	00020007	000e002e	00000287
02000000	00020007	000f002f	0000028b
03000000	00030006	00000030	00000064
03000001	00030006	00010031	000000b0
03000000	00030006	00020032	000000bc
03000001	00030006	00030033	00000108
03000001	00030006	00040034	00000000
03000000	00030006	00050035	0000000c
03000001	00030006	00060036	00000058
03000000	00030006	00070037	00000114
03000001	00030006	00080038	00000160
03000000	00030006	00090039	0000016c
03000001	00030006	000a003a	000001b8
03000000	00030006	000b003b	000001c4
03000001	00030006	000c003c	00000210
03000000	00030006	000d003d	0000021c
03000001	00030006	000e003e	00000268
03000000	00030006	000f003f	00000274
04000001	00040005	00000040	00000139
04000000	00040005	00010041	0000013d
04000001	00040005	00020042	00000191
04000000	00040005	00030043	00000195
04000001	00040005	00040044	000001e9
04000000	00040005	00050045	000001ed
04000001	00040005	00060046	00000241
04000000	00040005	00070047	00000245
04000001	00040005	00080048	00000299
04000000	00040005	00090049	0000029d
