mem size init: gart size :1fdff000 vram size: s:40000000 visible:f8ca000
mem size init: gart size :509Mbytes vram size: s:1024Mbytes visible:248Mbytes
00000000	00000001	00000000	00000001
00000001	00000001	00010001	00000005
00000000	00000001	00020002	00000059
00000001	00000001	00030003	0000005d
01000000	00010001	00000004	00000002
01000001	00010001	00010005	00000006
01000000	00010001	00020006	0000005a
01000001	00010001	00030007	0000005e
02000001	00020003	00000008	00000007
02000000	00020003	00010009	0000000b
02000001	00020003	0002000a	0000005f
02000000	00020003	0003000b	00000063
03000001	00030003	0000000c	00000058
03000000	00030003	0001000d	00000064
03000001	00030003	0002000e	000000b0
03000000	00030003	0003000f	000000bc
00010000	00040004	00000010	0000001d
00010001	00040004	00010011	00000021
00010000	00040004	00020012	00000075
00010001	00040004	00030013	00000079
01010000	00000002	00000014	000000b1
01010001	00000002	00010015	000000b5
01010000	00000002	00020016	00000109
01010001	00000002	00030017	0000010d
02010000	00010002	00000018	000000b2
02010001	00010002	00010019	000000b6
02010000	00010002	0002001a	0000010a
02010001	00010002	0003001b	0000010e
03010001	00020004	0000001c	000000b7
03010000	00020004	0001001d	000000bb
03010001	00020004	0002001e	0000010f
03010000	00020004	0003001f	00000113
00020001	00030004	00000020	00000108
00020000	00030004	00010021	00000114
00020001	00030004	00020022	00000160
00020000	00030004	00030023	0000016c
01020000	00040005	00000024	000000cd
01020001	00040005	00010025	000000d1
01020000	00040005	00020026	00000125
01020001	00040005	00030027	00000129
02020000	00000003	00000028	00000161
02020001	00000003	00010029	00000165
02020000	00000003	0002002a	000001b9
02020001	00000003	0003002b	000001bd
03020000	00010003	0000002c	00000162
03020001	00010003	0001002d	00000166
03020000	00010003	0002002e	000001ba
03020001	00010003	0003002f	000001be
00030001	00020005	00000030	00000167
00030000	00020005	00010031	0000016b
00030001	00020005	00020032	000001bf
00030000	00020005	00030033	000001c3
01030001	00030005	00000034	00000000
01030000	00030005	00010035	0000000c
01030001	00030005	00020036	000001b8
01030000	00030005	00030037	000001c4
02030000	00040006	00000038	0000017d
02030001	00040006	00010039	00000181
02030000	00040006	0002003a	000001d5
02030001	00040006	0003003b	000001d9
03030000	00000004	0000003c	00000211
03030001	00000004	0001003d	00000215
03030000	00000004	0002003e	00000269
03030001	00000004	0003003f	0000026d
eaeaeaea	eaeaeaea	eaeaeaea	eaeaeaea
eaeaeaea	eaeaeaea	eaeaeaea	eaeaeaea
eaeaeaea	eaeaeaea	eaeaeaea	eaeaeaea
eaeaeaea	eaeaeaea	eaeaeaea	eaeaeaea
