mem size init: gart size :1fdff000 vram size: s:40000000 visible:f8ca000
mem size init: gart size :509Mbytes vram size: s:1024Mbytes visible:248Mbytes
00000000	00000000	00060000	00000000
00000000	00000001	00060001	00000004
00000000	00000000	00060002	00000038
00000000	00000001	00060003	0000003c
00000100	00010000	00010004	000000b1
00000100	00010001	00010005	000000bd
00000100	00010000	00010006	000000e9
00000100	00010001	00010007	000000f5
00000200	00020001	00000008	00000166
00000200	00020000	00000009	00000172
00000200	00020001	0000000a	0000019e
00000200	00020000	0000000b	000001aa
00000300	00030000	0000000c	0000021b
00000300	00030001	0000000d	00000227
00000300	00030000	0000000e	00000253
00000300	00030001	0000000f	0000025f
00000400	00040000	00070010	000003bc
00000400	00040001	00070011	000003c0
00000400	00040000	00070012	000003f4
00000400	00040001	00070013	000003f8
00000500	00000001	00070014	0000046c
00000500	00000000	00070015	00000478
00000500	00000001	00070016	000004a4
00000500	00000000	00070017	000004b0
00000600	00010000	00020018	00000521
00000600	00010001	00020019	0000052d
00000600	00010000	0002001a	00000559
00000600	00010001	0002001b	00000565
00000700	00020001	0001001c	000005d6
00000700	00020000	0001001d	000005e2
00000700	00020001	0001001e	0000060e
00000700	00020000	0001001f	0000061a
00000800	00030000	00010020	0000068b
00000800	00030001	00010021	00000697
00000800	00030000	00010022	000006c3
00000800	00030001	00010023	000006cf
00000900	00040001	00000024	00000740
00000900	00040000	00000025	0000074c
00000900	00040001	00000026	00000778
00000900	00040000	00000027	00000784
00000a00	00000001	00000028	000007f4
00000a00	00000000	00000029	00000800
00000a00	00000001	0000002a	0000082c
00000a00	00000000	0000002b	00000838
00000b00	00010000	0003002c	000008a9
00000b00	00010001	0003002d	000008b5
00000b00	00010000	0003002e	000008e1
00000b00	00010001	0003002f	000008ed
00000c00	00020001	00020030	0000095e
00000c00	00020000	00020031	0000096a
00000c00	00020001	00020032	00000996
00000c00	00020000	00020033	000009a2
00000d00	00030000	00020034	00000a13
00000d00	00030001	00020035	00000a1f
00000d00	00030000	00020036	00000a4b
00000d00	00030001	00020037	00000a57
00000e00	00040001	00010038	00000ac8
00000e00	00040000	00010039	00000ad4
00000e00	00040001	0001003a	00000b00
00000e00	00040000	0001003b	00000b0c
00000f00	00000001	0001003c	00000b7c
00000f00	00000000	0001003d	00000b88
00000f00	00000001	0001003e	00000bb4
00000f00	00000000	0001003f	00000bc0
00001000	00010000	00040000	00000c31
00001000	00010001	00040001	00000c3d
00001000	00010000	00040002	00000c69
00001000	00010001	00040003	00000c75
