mem size init: gart size :1fdff000 vram size: s:40000000 visible:f8ca000
mem size init: gart size :509Mbytes vram size: s:1024Mbytes visible:248Mbytes
00000000	00000001	00020000	00000000
00000000	00000000	00020001	00000004
00000000	00000001	00020002	00000048
00000000	00000000	00020003	0000004c
00000100	00010001	00000004	000000c1
00000100	00010000	00000005	000000cd
00000100	00010001	00000006	00000109
00000100	00010000	00000007	00000115
00000200	00020000	00070008	00000186
00000200	00020001	00070009	00000192
00000200	00020000	0007000a	000001ce
00000200	00020001	0007000b	000001da
00000300	00030001	0007000c	0000024b
00000300	00030000	0007000d	00000257
00000300	00030001	0007000e	00000293
00000300	00030000	0007000f	0000029f
00000400	00040000	00060010	00000430
00000400	00040001	00060011	00000434
00000400	00040000	00060012	00000478
00000400	00040001	00060013	0000047c
00000500	00000001	00030014	000004f0
00000500	00000000	00030015	000004fc
00000500	00000001	00030016	00000538
00000500	00000000	00030017	00000544
00000600	00010000	00010018	000005b5
00000600	00010001	00010019	000005c1
00000600	00010000	0001001a	000005fd
00000600	00010001	0001001b	00000609
00000700	00020001	0000001c	0000067a
00000700	00020000	0000001d	00000686
00000700	00020001	0000001e	000006c2
00000700	00020000	0000001f	000006ce
00000800	00030000	00000020	0000073f
00000800	00030001	00000021	0000074b
00000800	00030000	00000022	00000787
00000800	00030001	00000023	00000793
00000900	00040001	00070024	00000804
00000900	00040000	00070025	00000810
00000900	00040001	00070026	0000084c
00000900	00040000	00070027	00000858
00000a00	00000001	00040028	000008c8
00000a00	00000000	00040029	000008d4
00000a00	00000001	0004002a	00000910
00000a00	00000000	0004002b	0000091c
00000b00	00010000	0002002c	0000098d
00000b00	00010001	0002002d	00000999
00000b00	00010000	0002002e	000009d5
00000b00	00010001	0002002f	000009e1
00000c00	00020001	00010030	00000a52
00000c00	00020000	00010031	00000a5e
00000c00	00020001	00010032	00000a9a
00000c00	00020000	00010033	00000aa6
00000d00	00030000	00010034	00000b17
00000d00	00030001	00010035	00000b23
00000d00	00030000	00010036	00000b5f
00000d00	00030001	00010037	00000b6b
00000e00	00040001	00000038	00000bdc
00000e00	00040000	00000039	00000be8
00000e00	00040001	0000003a	00000c24
00000e00	00040000	0000003b	00000c30
00000f00	00000001	0005003c	00000ca0
00000f00	00000000	0005003d	00000cac
00000f00	00000001	0005003e	00000ce8
00000f00	00000000	0005003f	00000cf4
00001000	00010000	00030000	00000d65
00001000	00010001	00030001	00000d71
00001000	00010000	00030002	00000dad
00001000	00010001	00030003	00000db9
00001100	00020001	00020004	00000e2a
00001100	00020000	00020005	00000e36
00001100	00020001	00020006	00000e72
00001100	00020000	00020007	00000e7e
00001200	00030000	00020008	00000eef
00001200	00030001	00020009	00000efb
00001200	00030000	0002000a	00000f37
00001200	00030001	0002000b	00000f43
00001300	00040001	0001000c	00000fb4
00001300	00040000	0001000d	00000fc0
00001300	00040001	0001000e	00000ffc
00001300	00040000	0001000f	00001008
00001400	00000001	00060010	00001078
00001400	00000000	00060011	00001084
00001400	00000001	00060012	000010c0
00001400	00000000	00060013	000010cc
00001500	00010000	00040014	0000113d
00001500	00010001	00040015	00001149
00001500	00010000	00040016	00001185
00001500	00010001	00040017	00001191
00001600	00020001	00030018	00001202
00001600	00020000	00030019	0000120e
00001600	00020001	0003001a	0000124a
00001600	00020000	0003001b	00001256
00001700	00030000	0003001c	000012c7
00001700	00030001	0003001d	000012d3
00001700	00030000	0003001e	0000130f
00001700	00030001	0003001f	0000131b
00001800	00040001	00020020	0000138c
00001800	00040000	00020021	00001398
00001800	00040001	00020022	000013d4
00001800	00040000	00020023	000013e0
00001900	00000001	00070024	00001450
00001900	00000000	00070025	0000145c
00001900	00000001	00070026	00001498
00001900	00000000	00070027	000014a4
00001a00	00010000	00050028	00001515
00001a00	00010001	00050029	00001521
00001a00	00010000	0005002a	0000155d
00001a00	00010001	0005002b	00001569
00001b00	00020001	0004002c	000015da
00001b00	00020000	0004002d	000015e6
00001b00	00020001	0004002e	00001622
00001b00	00020000	0004002f	0000162e
00001c00	00030000	00040030	0000169f
00001c00	00030001	00040031	000016ab
00001c00	00030000	00040032	000016e7
00001c00	00030001	00040033	000016f3
00001d00	00040001	00030034	00001764
00001d00	00040000	00030035	00001770
00001d00	00040001	00030036	000017ac
00001d00	00040000	00030037	000017b8
00001e00	00000001	00000038	00001828
00001e00	00000000	00000039	00001834
00001e00	00000001	0000003a	00001870
00001e00	00000000	0000003b	0000187c
00001f00	00010000	0006003c	000018ed
00001f00	00010001	0006003d	000018f9
00001f00	00010000	0006003e	00001935
00001f00	00010001	0006003f	00001941
00002000	00020001	00050000	000019b2
00002000	00020000	00050001	000019be
00002000	00020001	00050002	000019fa
00002000	00020000	00050003	00001a06
00002100	00030000	00050004	00001a77
00002100	00030001	00050005	00001a83
00002100	00030000	00050006	00001abf
00002100	00030001	00050007	00001acb
00002200	00040001	00040008	00001b3c
00002200	00040000	00040009	00001b48
00002200	00040001	0004000a	00001b84
00002200	00040000	0004000b	00001b90
00002300	00000001	0001000c	00001c00
00002300	00000000	0001000d	00001c0c
00002300	00000001	0001000e	00001c48
00002300	00000000	0001000f	00001c53
00002400	00010000	00070010	00001cc3
00002400	00010001	00070011	00001ccf
00002400	00010000	00070012	00001d0b
00002400	00010001	00070013	00001d17
00002500	00020001	00060014	00001d88
00002500	00020000	00060015	00001d94
00002500	00020001	00060016	00001dd0
00002500	00020000	00060017	00001ddc
00002600	00030000	00060018	00001e4d
00002600	00030001	00060019	00001e59
00002600	00030000	0006001a	00001e95
00002600	00030001	0006001b	00001ea1
00002700	00040001	0005001c	00001f12
00002700	00040000	0005001d	00001f1e
00002700	00040001	0005001e	00001f5a
00002700	00040000	0005001f	00001f66
00002800	00000001	00020020	00001fd6
00002800	00000000	00020021	00001fe2
00002800	00000001	00020022	0000201e
00002800	00000000	00020023	0000202a
00002900	00010000	00000024	0000209b
00002900	00010001	00000025	000020a7
00002900	00010000	00000026	000020e3
00002900	00010001	00000027	000020ef
00002a00	00020001	00070028	00002160
00002a00	00020000	00070029	0000216c
00002a00	00020001	0007002a	000021a8
00002a00	00020000	0007002b	000021b4
00002b00	00030000	0007002c	00002225
00002b00	00030001	0007002d	00002231
00002b00	00030000	0007002e	0000226d
00002b00	00030001	0007002f	00002279
00002c00	00040001	00060030	000022ea
00002c00	00040000	00060031	000022f6
00002c00	00040001	00060032	00002332
00002c00	00040000	00060033	0000233e
00002d00	00000001	00030034	000023ae
00002d00	00000000	00030035	000023ba
00002d00	00000001	00030036	000023f6
00002d00	00000000	00030037	00002402
00002e00	00010000	00010038	00002473
00002e00	00010001	00010039	0000247f
00002e00	00010000	0001003a	000024bb
00002e00	00010001	0001003b	000024c7
00002f00	00020001	0000003c	00002538
00002f00	00020000	0000003d	00002544
00002f00	00020001	0000003e	00002580
00002f00	00020000	0000003f	0000258c
00003000	00030000	00000000	000025fd
00003000	00030001	00000001	00002609
00003000	00030000	00000002	00002645
00003000	00030001	00000003	00002651
00003100	00040001	00070004	000026c2
00003100	00040000	00070005	000026ce
00003100	00040001	00070006	0000270a
00003100	00040000	00070007	00002716
00003200	00000001	00040008	00002786
00003200	00000000	00040009	00002792
00003200	00000001	0004000a	000027ce
00003200	00000000	0004000b	000027da
00003300	00010000	0002000c	0000284b
00003300	00010001	0002000d	00002857
00003300	00010000	0002000e	00002893
00003300	00010001	0002000f	0000289f
00003400	00020001	00010010	00002910
00003400	00020000	00010011	0000291c
00003400	00020001	00010012	00002958
00003400	00020000	00010013	00002964
00003500	00030000	00010014	000029d5
00003500	00030001	00010015	000029e1
00003500	00030000	00010016	00002a1d
00003500	00030001	00010017	00002a29
00003600	00040001	00000018	00002a9a
00003600	00040000	00000019	00002aa6
00003600	00040001	0000001a	00002ae2
00003600	00040000	0000001b	00002aee
00003700	00000001	0005001c	00002b5e
00003700	00000000	0005001d	00002b6a
00003700	00000001	0005001e	00002ba6
00003700	00000000	0005001f	00002bb2
00003800	00010000	00030020	00002c23
00003800	00010001	00030021	00002c2f
00003800	00010000	00030022	00002c6b
00003800	00010001	00030023	00002c77
00003900	00020001	00020024	00002ce8
00003900	00020000	00020025	00002cf4
00003900	00020001	00020026	00002d30
00003900	00020000	00020027	00002d3c
00003a00	00030000	00020028	00002dad
00003a00	00030001	00020029	00002db9
00003a00	00030000	0002002a	00002df5
00003a00	00030001	0002002b	00002e01
00003b00	00040001	0001002c	00002e72
00003b00	00040000	0001002d	00002e7e
00003b00	00040001	0001002e	00002eba
00003b00	00040000	0001002f	00002ec6
00003c00	00000001	00060030	00002f36
00003c00	00000000	00060031	00002f42
00003c00	00000001	00060032	00002f7e
00003c00	00000000	00060033	00002f8a
00003d00	00010000	00040034	00002ffb
00003d00	00010001	00040035	00003007
00003d00	00010000	00040036	00003043
00003d00	00010001	00040037	0000304f
00003e00	00020001	00030038	000030c0
00003e00	00020000	00030039	000030cc
00003e00	00020001	0003003a	00003108
00003e00	00020000	0003003b	00003114
00003f00	00030000	0003003c	00003185
00003f00	00030001	0003003d	00003191
00003f00	00030000	0003003e	000031cd
00003f00	00030001	0003003f	000031d9
00004000	00040001	00020000	0000324a
00004000	00040000	00020001	00003256
00004000	00040001	00020002	00003292
00004000	00040000	00020003	0000329e
00004100	00000001	00070004	0000330e
00004100	00000000	00070005	0000331a
00004100	00000001	00070006	00003356
00004100	00000000	00070007	00003362
00004200	00010000	00050008	000033d3
00004200	00010001	00050009	000033df
00004200	00010000	0005000a	0000341b
00004200	00010001	0005000b	00003427
00004300	00020001	0004000c	00003498
00004300	00020000	0004000d	000034a4
00004300	00020001	0004000e	000034e0
00004300	00020000	0004000f	000034ec
00004400	00030000	00040010	0000355d
00004400	00030001	00040011	00003569
00004400	00030000	00040012	000035a5
00004400	00030001	00040013	000035b1
00004500	00040001	00030014	00003622
00004500	00040000	00030015	0000362e
00004500	00040001	00030016	0000366a
00004500	00040000	00030017	00003676
00004600	00000001	00000018	000036e6
00004600	00000000	00000019	000036f2
00004600	00000001	0000001a	0000372e
00004600	00000000	0000001b	0000373a
00004700	00010000	0006001c	000037ab
00004700	00010001	0006001d	000037b7
00004700	00010000	0006001e	000037f3
00004700	00010001	0006001f	000037ff
00004800	00020001	00050020	00003870
00004800	00020000	00050021	0000387c
00004800	00020001	00050022	000038b8
00004800	00020000	00050023	000038c4
00004900	00030000	00050024	00003935
00004900	00030001	00050025	00003941
00004900	00030000	00050026	0000397d
00004900	00030001	00050027	00003989
00004a00	00040001	00040028	000039fa
00004a00	00040000	00040029	00003a06
00004a00	00040001	0004002a	00003a42
00004a00	00040000	0004002b	00003a4e
00004b00	00000001	0001002c	00003abe
00004b00	00000000	0001002d	00003aca
00004b00	00000001	0001002e	00003b06
00004b00	00000000	0001002f	00003b12
00004c00	00010000	00070030	00003b83
00004c00	00010001	00070031	00003b8f
00004c00	00010000	00070032	00003bcb
00004c00	00010001	00070033	00003bd7
00004d00	00020001	00060034	00003c48
00004d00	00020000	00060035	00003c54
00004d00	00020001	00060036	00003c90
00004d00	00020000	00060037	00003c9c
00004e00	00030000	00060038	00003d0d
00004e00	00030001	00060039	00003d19
00004e00	00030000	0006003a	00003d55
00004e00	00030001	0006003b	00003d61
00004f00	00040001	0005003c	00003dd2
00004f00	00040000	0005003d	00003dde
00004f00	00040001	0005003e	00003e1a
00004f00	00040000	0005003f	00003e26
00005000	00000001	00020000	00003e96
00005000	00000000	00020001	00003ea2
00005000	00000001	00020002	00003ede
00005000	00000000	00020003	00003eea
00005100	00010000	00000004	00003f5b
00005100	00010001	00000005	00003f67
00005100	00010000	00000006	00003fa3
00005100	00010001	00000007	00003faf
00005200	00020001	00070008	00004020
00005200	00020000	00070009	0000402c
00005200	00020001	0007000a	00004068
00005200	00020000	0007000b	00004074
00005300	00030000	0007000c	000040e5
00005300	00030001	0007000d	000040f1
00005300	00030000	0007000e	0000412d
00005300	00030001	0007000f	00004139
00005400	00040001	00060010	000041aa
00005400	00040000	00060011	000041b6
00005400	00040001	00060012	000041f2
00005400	00040000	00060013	000041fe
00005500	00000001	00030014	0000426e
00005500	00000000	00030015	0000427a
00005500	00000001	00030016	000042b6
00005500	00000000	00030017	000042c2
00005600	00010000	00010018	00004333
00005600	00010001	00010019	0000433f
00005600	00010000	0001001a	0000437b
00005600	00010001	0001001b	00004387
00005700	00020001	0000001c	000043f8
00005700	00020000	0000001d	00004404
00005700	00020001	0000001e	00004440
00005700	00020000	0000001f	0000444c
00005800	00030000	00000020	000044bd
00005800	00030001	00000021	000044c9
00005800	00030000	00000022	00004505
00005800	00030001	00000023	00004511
00005900	00040001	00070024	00004582
00005900	00040000	00070025	0000458e
00005900	00040001	00070026	000045ca
00005900	00040000	00070027	000045d6
00005a00	00000001	00040028	00004646
00005a00	00000000	00040029	00004652
00005a00	00000001	0004002a	0000468e
00005a00	00000000	0004002b	0000469a
00005b00	00010000	0002002c	0000470b
00005b00	00010001	0002002d	00004717
00005b00	00010000	0002002e	00004753
00005b00	00010001	0002002f	0000475f
00005c00	00020001	00010030	000047d0
00005c00	00020000	00010031	000047dc
00005c00	00020001	00010032	00004818
00005c00	00020000	00010033	00004824
00005d00	00030000	00010034	00004895
00005d00	00030001	00010035	000048a1
00005d00	00030000	00010036	000048dd
00005d00	00030001	00010037	000048e9
00005e00	00040001	00000038	0000495a
00005e00	00040000	00000039	00004966
00005e00	00040001	0000003a	000049a2
00005e00	00040000	0000003b	000049ae
00005f00	00000001	0005003c	00004a1e
00005f00	00000000	0005003d	00004a2a
00005f00	00000001	0005003e	00004a66
00005f00	00000000	0005003f	00004a72
00006000	00010000	00030000	00004ae3
00006000	00010001	00030001	00004aef
00006000	00010000	00030002	00004b2b
00006000	00010001	00030003	00004b37
00006100	00020001	00020004	00004ba8
00006100	00020000	00020005	00004bb4
00006100	00020001	00020006	00004bf0
00006100	00020000	00020007	00004bfc
00006200	00030000	00020008	00004c6d
00006200	00030001	00020009	00004c79
00006200	00030000	0002000a	00004cb5
00006200	00030001	0002000b	00004cc1
00006300	00040001	0001000c	00004d32
00006300	00040000	0001000d	00004d3e
00006300	00040001	0001000e	00004d7a
00006300	00040000	0001000f	00004d86
00006400	00000001	00060010	00004df6
00006400	00000000	00060011	00004e02
00006400	00000001	00060012	00004e3e
00006400	00000000	00060013	00004e4a
00006500	00010000	00040014	00004ebb
00006500	00010001	00040015	00004ec7
00006500	00010000	00040016	00004f03
00006500	00010001	00040017	00004f0f
00006600	00020001	00030018	00004f80
00006600	00020000	00030019	00004f8c
00006600	00020001	0003001a	00004fc8
00006600	00020000	0003001b	00004fd4
00006700	00030000	0003001c	00005045
00006700	00030001	0003001d	00005051
00006700	00030000	0003001e	0000508d
00006700	00030001	0003001f	00005099
00006800	00040001	00020020	0000510a
00006800	00040000	00020021	00005116
00006800	00040001	00020022	00005152
00006800	00040000	00020023	0000515e
00006900	00000001	00070024	000051ce
00006900	00000000	00070025	000051da
00006900	00000001	00070026	00005216
00006900	00000000	00070027	00005222
00006a00	00010000	00050028	00005293
00006a00	00010001	00050029	0000529f
00006a00	00010000	0005002a	000052db
00006a00	00010001	0005002b	000052e7
00006b00	00020001	0004002c	00005358
00006b00	00020000	0004002d	00005364
00006b00	00020001	0004002e	000053a0
00006b00	00020000	0004002f	000053ac
00006c00	00030000	00040030	0000541d
00006c00	00030001	00040031	00005429
00006c00	00030000	00040032	00005465
00006c00	00030001	00040033	00005471
00006d00	00040001	00030034	000054e2
00006d00	00040000	00030035	000054ee
00006d00	00040001	00030036	0000552a
00006d00	00040000	00030037	00005536
00006e00	00000001	00000038	000055a6
00006e00	00000000	00000039	000055b2
00006e00	00000001	0000003a	000055ee
00006e00	00000000	0000003b	000055fa
00006f00	00010000	0006003c	0000566b
00006f00	00010001	0006003d	00005677
00006f00	00010000	0006003e	000056b3
00006f00	00010001	0006003f	000056bf
00007000	00020001	00050000	00005730
00007000	00020000	00050001	0000573c
00007000	00020001	00050002	00005778
00007000	00020000	00050003	00005784
00007100	00030000	00050004	000057f5
00007100	00030001	00050005	00005801
00007100	00030000	00050006	0000583d
00007100	00030001	00050007	00005849
00007200	00040001	00040008	000058ba
00007200	00040000	00040009	000058c6
00007200	00040001	0004000a	00005902
00007200	00040000	0004000b	0000590e
00007300	00000001	0001000c	0000597e
00007300	00000000	0001000d	0000598a
00007300	00000001	0001000e	000059c6
00007300	00000000	0001000f	000059d2
00007400	00010000	00070010	00005a43
00007400	00010001	00070011	00005a4f
00007400	00010000	00070012	00005a8b
00007400	00010001	00070013	00005a97
00007500	00020001	00060014	00005b08
00007500	00020000	00060015	00005b14
00007500	00020001	00060016	00005b50
00007500	00020000	00060017	00005b5c
00007600	00030000	00060018	00005bcd
00007600	00030001	00060019	00005bd9
00007600	00030000	0006001a	00005c15
00007600	00030001	0006001b	00005c21
00007700	00040001	0005001c	00005c92
00007700	00040000	0005001d	00005c9e
00007700	00040001	0005001e	00005cda
00007700	00040000	0005001f	00005ce6
00007800	00000001	00020020	00005d56
00007800	00000000	00020021	00005d62
00007800	00000001	00020022	00005d9e
00007800	00000000	00020023	00005daa
00007900	00010000	00000024	00005e1b
00007900	00010001	00000025	00005e27
00007900	00010000	00000026	00005e63
00007900	00010001	00000027	00005e6f
00007a00	00020001	00070028	00005ee0
00007a00	00020000	00070029	00005eec
00007a00	00020001	0007002a	00005f28
00007a00	00020000	0007002b	00005f34
00007b00	00030000	0007002c	00005fa5
00007b00	00030001	0007002d	00005fb1
00007b00	00030000	0007002e	00005fed
00007b00	00030001	0007002f	00005ff9
00007c00	00040001	00060030	0000606a
00007c00	00040000	00060031	00006076
00007c00	00040001	00060032	000060b2
00007c00	00040000	00060033	000060be
00007d00	00000001	00030034	0000612e
00007d00	00000000	00030035	0000613a
00007d00	00000001	00030036	00006176
00007d00	00000000	00030037	00006182
00007e00	00010000	00010038	000061f3
00007e00	00010001	00010039	000061ff
00007e00	00010000	0001003a	0000623b
00007e00	00010001	0001003b	00006247
00007f00	00020001	0000003c	000062b8
