mem size init: gart size :1fdff000 vram size: s:40000000 visible:f8ca000
mem size init: gart size :509Mbytes vram size: s:1024Mbytes visible:248Mbytes
00000000	00000000	00000000	00000001
00000001	00000000	00010001	00000005
00000000	00000000	00020002	00000059
00000001	00000000	00030003	0000005d
00000000	00000000	00040004	000000b1
00000001	00000000	00050005	000000b5
00000000	00000000	00060006	00000109
00000001	00000000	00070007	0000010d
00000000	00000000	00080008	00000161
00000001	00000000	00090009	00000165
00000000	00000000	000a000a	000001b9
00000001	00000000	000b000b	000001bd
00000000	00000000	000c000c	00000211
00000001	00000000	000d000d	00000215
00000000	00000000	000e000e	00000269
00000001	00000000	000f000f	0000026d
01000001	00010000	00000010	0000000e
01000000	00010000	00010011	00000012
01000001	00010000	00020012	00000066
01000000	00010000	00030013	0000006a
01000001	00010000	00040014	000000be
01000000	00010000	00050015	000000c2
01000001	00010000	00060016	00000116
01000000	00010000	00070017	0000011a
01000001	00010000	00080018	0000016e
01000000	00010000	00090019	00000172
01000001	00010000	000a001a	000001c6
01000000	00010000	000b001b	000001ca
01000001	00010000	000c001c	0000021e
01000000	00010000	000d001d	00000222
01000001	00010000	000e001e	00000276
01000000	00010000	000f001f	0000027a
00010001	00020002	00000020	0000001f
00010000	00020002	00010021	00000023
00010001	00020002	00020022	00000077
00010000	00020002	00030023	0000007b
00010001	00020002	00040024	000000cf
00010000	00020002	00050025	000000d3
00010001	00020002	00060026	00000127
00010000	00020002	00070027	0000012b
00010001	00020002	00080028	0000017f
00010000	00020002	00090029	00000183
00010001	00020002	000a002a	000001d7
00010000	00020002	000b002b	000001db
00010001	00020002	000c002c	0000022f
00010000	00020002	000d002d	00000233
00010001	00020002	000e002e	00000287
00010000	00020002	000f002f	0000028b
01010000	00030002	00000030	00000064
01010001	00030002	00010031	000000b0
01010000	00030002	00020032	000000bc
01010001	00030002	00030033	00000108
01010001	00030002	00040034	00000000
01010000	00030002	00050035	0000000c
01010001	00030002	00060036	00000058
01010000	00030002	00070037	00000114
01010001	00030002	00080038	00000160
01010000	00030002	00090039	0000016c
01010001	00030002	000a003a	000001b8
01010000	00030002	000b003b	000001c4
01010001	00030002	000c003c	00000210
01010000	00030002	000d003d	0000021c
01010001	00030002	000e003e	00000268
01010000	00030002	000f003f	00000274
eaeaeaea	eaeaeaea	eaeaeaea	eaeaeaea
eaeaeaea	eaeaeaea	eaeaeaea	eaeaeaea
eaeaeaea	eaeaeaea	eaeaeaea	eaeaeaea
eaeaeaea	eaeaeaea	eaeaeaea	eaeaeaea
