mem size init: gart size :1fdff000 vram size: s:40000000 visible:f8ca000
mem size init: gart size :509Mbytes vram size: s:1024Mbytes visible:248Mbytes
     0:	       0	-0.267261	0.534522	-0.801784
     4:	0.356348	-0.445435	0.534523	-0.62361
     8:	0.418167	-0.470438	0.522708	-0.574979
    12:	0.442928	-0.479839	0.516749	-0.55366
    16:	0.456213	-0.484726	0.513239	-0.541753
    20:	0.464489	-0.487713	0.510938	-0.534162
    24:	0.470137	-0.489726	0.509315	-0.528904
    28:	0.474236	-0.491173	 0.50811	-0.525047
    32:	0.477346	-0.492263	 0.50718	-0.522097
    36:	0.479787	-0.493114	0.506442	-0.519769
    40:	0.481753	-0.493797	0.505841	-0.517884
    44:	0.483371	-0.494356	0.505342	-0.516328
    48:	0.484725	-0.494823	0.504922	-0.51502
    52:	0.485875	-0.495219	0.504563	-0.513906
    56:	0.486865	-0.495559	0.504252	-0.512947
    60:	0.487724	-0.495853	0.503982	-0.51211
    64:	0.488478	-0.496111	0.503743	-0.511376
    68:	0.489145	-0.496339	0.503532	-0.510725
    72:	0.489739	-0.496541	0.503343	-0.510145
    76:	0.490272	-0.496723	0.503173	-0.509624
    80:	0.490751	-0.496886	 0.50302	-0.509155
    84:	0.491186	-0.497034	0.502881	-0.508728
    88:	0.491582	-0.497168	0.502754	-0.50834
    92:	0.491943	-0.497291	0.502638	-0.507985
    96:	0.492275	-0.497403	0.502531	-0.507659
   100:	0.492581	-0.497507	0.502433	-0.507358
   104:	0.492863	-0.497602	0.502341	-0.50708
   108:	0.493125	-0.497691	0.502257	-0.506823
   112:	0.493368	-0.497773	0.502178	-0.506583
   116:	0.493595	-0.49785	0.502105	-0.50636
   120:	0.493806	-0.497921	0.502036	-0.506151
   124:	0.494004	-0.497988	0.501972	-0.505956
   128:	 0.49419	-0.498051	0.501912	-0.505773
   132:	0.494365	-0.49811	0.501855	 -0.5056
   136:	0.494529	-0.498165	0.501802	-0.505438
   140:	0.494684	-0.498218	0.501751	-0.505285
   144:	0.494831	-0.498267	0.501703	-0.50514
   148:	0.494969	-0.498314	0.501658	-0.505003
   152:	0.495101	-0.498358	0.501615	-0.504873
   156:	0.495226	 -0.4984	0.501575	-0.504749
   160:	0.495344	-0.49844	0.501536	-0.504632
   164:	0.495457	-0.498478	0.501499	-0.50452
   168:	0.495564	-0.498514	0.501464	-0.504414
   172:	0.495667	-0.498549	0.501431	-0.504312
   176:	0.495765	-0.498582	0.501399	-0.504215
   180:	0.495858	-0.498613	0.501368	-0.504123
   184:	0.495948	-0.498643	0.501339	-0.504034
   188:	0.496034	-0.498672	0.501311	-0.503949
   192:	0.496116	 -0.4987	0.501284	-0.503868
   196:	0.496195	-0.498726	0.501258	-0.503789
   200:	 0.49627	-0.498752	0.501233	-0.503714
   204:	0.496343	-0.498776	0.501209	-0.503642
   208:	0.496413	 -0.4988	0.501186	-0.503573
   212:	 0.49648	-0.498822	0.501164	-0.503506
   216:	0.496545	-0.498844	0.501143	-0.503442
   220:	0.496608	-0.498865	0.501122	-0.50338
   224:	0.496668	-0.498885	0.501103	-0.50332
   228:	0.496726	-0.498905	0.501083	-0.503262
   232:	0.496782	-0.498924	0.501065	-0.503206
   236:	0.496837	-0.498942	0.501047	-0.503152
   240:	0.496889	-0.498959	 0.50103	 -0.5031
   244:	 0.49694	-0.498976	0.501013	-0.50305
   248:	0.496989	-0.498993	0.500997	-0.503001
   252:	0.497037	-0.499009	0.500981	-0.502954
   256:	0.497083	-0.499024	0.500966	-0.502908
   260:	0.497127	-0.499039	0.500951	-0.502863
   264:	0.497171	-0.499054	0.500937	-0.50282
   268:	0.497213	-0.499068	0.500923	-0.502779
   272:	0.497254	-0.499082	 0.50091	-0.502738
   276:	0.497293	-0.499095	0.500897	-0.502699
   280:	0.497332	-0.499108	0.500884	-0.50266
   284:	0.497369	-0.499121	0.500872	-0.502623
   288:	0.497406	-0.499133	 0.50086	-0.502587
   292:	0.497441	-0.499145	0.500848	-0.502552
   296:	0.497475	-0.499156	0.500837	-0.502517
   300:	0.497509	-0.499167	0.500826	-0.502484
   304:	0.497542	-0.499178	0.500815	-0.502452
   308:	0.497573	-0.499189	0.500804	-0.50242
   312:	0.497604	-0.499199	0.500794	-0.502389
   316:	0.497635	-0.499209	0.500784	-0.502359
   320:	0.497664	-0.499219	0.500775	-0.50233
   324:	0.497693	-0.499229	0.500765	-0.502301
   328:	0.497721	-0.499238	0.500756	-0.502273
   332:	0.497748	-0.499248	0.500747	-0.502246
   336:	0.497775	-0.499257	0.500738	-0.502219
   340:	0.497801	-0.499265	0.500729	-0.502194
   344:	0.497827	-0.499274	0.500721	-0.502168
   348:	0.497852	-0.499282	0.500713	-0.502143
   352:	0.497876	-0.49929	0.500705	-0.502119
   356:	  0.4979	-0.499298	0.500697	-0.502095
   360:	0.497923	-0.499306	0.500689	-0.502072
   364:	0.497946	-0.499314	0.500682	-0.50205
   368:	0.497968	-0.499321	0.500674	-0.502027
   372:	 0.49799	-0.499328	0.500667	-0.502006
   376:	0.498011	-0.499336	 0.50066	-0.501985
   380:	0.498032	-0.499343	0.500653	-0.501964
   384:	0.498052	-0.499349	0.500646	-0.501943
   388:	0.498072	-0.499356	 0.50064	-0.501923
   392:	0.498092	-0.499363	0.500633	-0.501904
   396:	0.498111	-0.499369	0.500627	-0.501885
   400:	 0.49813	-0.499375	0.500621	-0.501866
   404:	0.498149	-0.499382	0.500615	-0.501848
   408:	0.498167	-0.499388	0.500609	-0.50183
   412:	0.498184	-0.499394	0.500603	-0.501812
   416:	0.498202	-0.499399	0.500597	-0.501795
   420:	0.498219	-0.499405	0.500591	-0.501778
   424:	0.498236	-0.499411	0.500586	-0.501761
   428:	0.498252	-0.499416	 0.50058	-0.501745
   432:	0.498268	-0.499422	0.500575	-0.501728
   436:	0.498284	-0.499427	 0.50057	-0.501713
   440:	  0.4983	-0.499432	0.500565	-0.501697
   444:	0.498315	-0.499437	 0.50056	-0.501682
   448:	 0.49833	-0.499442	0.500555	-0.501667
   452:	0.498345	-0.499447	 0.50055	-0.501652
   456:	0.498359	-0.499452	0.500545	-0.501638
   460:	0.498373	-0.499457	 0.50054	-0.501624
   464:	0.498387	-0.499462	0.500536	-0.50161
   468:	0.498401	-0.499466	0.500531	-0.501596
   472:	0.498415	-0.499471	0.500527	-0.501583
   476:	0.498428	-0.499475	0.500522	-0.501569
   480:	0.498441	-0.499479	0.500518	-0.501556
   484:	0.498454	-0.499484	0.500514	-0.501543
   488:	0.498467	-0.499488	0.500509	-0.501531
   492:	0.498479	-0.499492	0.500505	-0.501518
   496:	0.498491	-0.499496	0.500501	-0.501506
   500:	0.498503	 -0.4995	0.500497	-0.501494
   504:	0.498515	-0.499504	0.500493	-0.501482
   508:	0.498527	-0.499508	0.500489	-0.501471
   512:	0.498538	-0.499512	0.500486	-0.501459
   516:	 0.49855	-0.499516	0.500482	-0.501448
   520:	0.498561	-0.499519	0.500478	-0.501437
   524:	0.498572	-0.499523	0.500475	-0.501426
   528:	0.498582	-0.499527	0.500471	-0.501415
   532:	0.498593	-0.49953	0.500467	-0.501405
   536:	0.498604	-0.499534	0.500464	-0.501394
   540:	0.498614	-0.499537	0.500461	-0.501384
   544:	0.498624	-0.499541	0.500457	-0.501374
   548:	0.498634	-0.499544	0.500454	-0.501364
   552:	0.498644	-0.499547	0.500451	-0.501354
   556:	0.498654	-0.499551	0.500447	-0.501344
   560:	0.498663	-0.499554	0.500444	-0.501335
   564:	0.498673	-0.499557	0.500441	-0.501325
   568:	0.498682	-0.49956	0.500438	-0.501316
   572:	0.498691	-0.499563	0.500435	-0.501307
   576:	  0.4987	-0.499566	0.500432	-0.501298
   580:	0.498709	-0.499569	0.500429	-0.501289
   584:	0.498718	-0.499572	0.500426	-0.50128
   588:	0.498727	-0.499575	0.500423	-0.501271
   592:	0.498735	-0.499578	 0.50042	-0.501263
   596:	0.498744	-0.499581	0.500418	-0.501254
   600:	0.498752	-0.499584	0.500415	-0.501246
   604:	 0.49876	-0.499586	0.500412	-0.501238
   608:	0.498769	-0.499589	0.500409	-0.50123
   612:	0.498777	-0.499592	0.500407	-0.501222
   616:	0.498785	-0.499594	0.500404	-0.501214
   620:	0.498792	-0.499597	0.500401	-0.501206
   624:	  0.4988	 -0.4996	0.500399	-0.501198
   628:	0.498808	-0.499602	0.500396	-0.501191
   632:	0.498815	-0.499605	0.500394	-0.501183
   636:	0.498823	-0.499607	0.500391	-0.501176
   640:	 0.49883	-0.49961	0.500389	-0.501168
   644:	0.498837	-0.499612	0.500387	-0.501161
   648:	0.498845	-0.499614	0.500384	-0.501154
   652:	0.498852	-0.499617	0.500382	-0.501147
   656:	0.498859	-0.499619	 0.50038	-0.50114
   660:	0.498865	-0.499621	0.500377	-0.501133
   664:	0.498872	-0.499624	0.500375	-0.501126
   668:	0.498879	-0.499626	0.500373	-0.50112
   672:	0.498886	-0.499628	0.500371	-0.501113
   676:	0.498892	-0.49963	0.500368	-0.501106
   680:	0.498899	-0.499633	0.500366	 -0.5011
   684:	0.498905	-0.499635	0.500364	-0.501093
   688:	0.498912	-0.499637	0.500362	-0.501087
   692:	0.498918	-0.499639	 0.50036	-0.501081
   696:	0.498924	-0.499641	0.500358	-0.501075
   700:	 0.49893	-0.499643	0.500356	-0.501068
   704:	0.498936	-0.499645	0.500354	-0.501062
   708:	0.498942	-0.499647	0.500352	-0.501056
   712:	0.498948	-0.499649	 0.50035	-0.501051
   716:	0.498954	-0.499651	0.500348	-0.501045
   720:	 0.49896	-0.499653	0.500346	-0.501039
   724:	0.498966	-0.499655	0.500344	-0.501033
   728:	0.498971	-0.499657	0.500342	-0.501028
   732:	0.498977	-0.499659	 0.50034	-0.501022
   736:	0.498982	-0.49966	0.500338	-0.501016
   740:	0.498988	-0.499662	0.500337	-0.501011
   744:	0.498993	-0.499664	0.500335	-0.501005
   748:	0.498999	-0.499666	0.500333	  -0.501
   752:	0.499004	-0.499668	0.500331	-0.500995
   756:	0.499009	-0.499669	0.500329	-0.50099
   760:	0.499015	-0.499671	0.500328	-0.500984
   764:	 0.49902	-0.499673	0.500326	-0.500979
   768:	0.499025	-0.499675	0.500324	-0.500974
   772:	 0.49903	-0.499676	0.500323	-0.500969
   776:	0.499035	-0.499678	0.500321	-0.500964
   780:	 0.49904	-0.49968	0.500319	-0.500959
   784:	0.499045	-0.499681	0.500318	-0.500954
   788:	 0.49905	-0.499683	0.500316	-0.500949
   792:	0.499054	-0.499684	0.500315	-0.500945
   796:	0.499059	-0.499686	0.500313	-0.50094
   800:	0.499064	-0.499688	0.500311	-0.500935
   804:	0.499068	-0.499689	 0.50031	-0.500931
   808:	0.499073	-0.499691	0.500308	-0.500926
   812:	0.499078	-0.499692	0.500307	-0.500921
   816:	0.499082	-0.499694	0.500305	-0.500917
   820:	0.499087	-0.499695	0.500304	-0.500912
   824:	0.499091	-0.499697	0.500302	-0.500908
   828:	0.499095	-0.499698	0.500301	-0.500904
   832:	  0.4991	 -0.4997	  0.5003	-0.500899
   836:	0.499104	-0.499701	0.500298	-0.500895
   840:	0.499108	-0.499702	0.500297	-0.500891
   844:	0.499113	-0.499704	0.500295	-0.500887
   848:	0.499117	-0.499705	0.500294	-0.500882
   852:	0.499121	-0.499707	0.500292	-0.500878
   856:	0.499125	-0.499708	0.500291	-0.500874
   860:	0.499129	-0.499709	 0.50029	-0.50087
   864:	0.499133	-0.499711	0.500288	-0.500866
   868:	0.499137	-0.499712	0.500287	-0.500862
   872:	0.499141	-0.499713	0.500286	-0.500858
   876:	0.499145	-0.499715	0.500284	-0.500854
   880:	0.499149	-0.499716	0.500283	-0.50085
   884:	0.499153	-0.499717	0.500282	-0.500847
