mem size init: gart size :1fdff000 vram size: s:40000000 visible:f8ca000
mem size init: gart size :509Mbytes vram size: s:1024Mbytes visible:248Mbytes
00000000	00000006	00000000	00000000
00000001	00000006	00010001	00000004
00000000	00000006	00020002	00000058
00000001	00000006	00030003	0000005c
00000000	00000006	00040004	000000b0
00000001	00000006	00050005	000000b4
00000000	00000006	00060006	00000108
00000001	00000006	00070007	0000010c
00000000	00000006	00080008	00000160
00000001	00000006	00090009	00000164
00000000	00000006	000a000a	000001b8
00000001	00000006	000b000b	000001bc
00000000	00000006	000c000c	00000210
00000001	00000006	000d000d	00000214
00000000	00000006	000e000e	00000268
00000001	00000006	000f000f	0000026c
01000000	00010005	00000010	00000011
01000001	00010005	00010011	00000015
01000000	00010005	00020012	00000069
01000001	00010005	00030013	0000006d
01000000	00010005	00040014	000000c1
01000001	00010005	00050015	000000c5
01000000	00010005	00060016	00000119
01000001	00010005	00070017	0000011d
01000000	00010005	00080018	00000171
01000001	00010005	00090019	00000175
01000000	00010005	000a001a	000001c9
01000001	00010005	000b001b	000001cd
01000000	00010005	000c001c	00000221
01000001	00010005	000d001d	00000225
01000000	00010005	000e001e	00000279
01000001	00010005	000f001f	0000027d
02000001	00020007	00000020	0000001e
02000000	00020007	00010021	00000022
02000001	00020007	00020022	00000076
02000000	00020007	00030023	0000007a
02000001	00020007	00040024	000000ce
02000000	00020007	00050025	000000d2
02000001	00020007	00060026	00000126
02000000	00020007	00070027	0000012a
02000001	00020007	00080028	0000017e
02000000	00020007	00090029	00000182
02000001	00020007	000a002a	000001d6
02000000	00020007	000b002b	000001da
02000001	00020007	000c002c	0000022e
02000000	00020007	000d002d	00000232
02000001	00020007	000e002e	00000286
02000000	00020007	000f002f	0000028a
03000000	00030007	00000030	0000006b
03000001	00030007	00010031	000000b7
03000000	00030007	00020032	000000c3
03000001	00030007	00030033	0000010f
03000000	00030007	00040034	0000011b
03000001	00030007	00050035	00000007
03000000	00030007	00060036	00000013
03000001	00030007	00070037	0000005f
03000001	00030007	00080038	00000167
03000000	00030007	00090039	00000173
03000001	00030007	000a003a	000001bf
03000000	00030007	000b003b	000001cb
03000001	00030007	000c003c	00000217
03000000	00030007	000d003d	00000223
03000001	00030007	000e003e	0000026f
03000000	00030007	000f003f	0000027b
00010001	00040007	00000040	00000138
00010000	00040007	00010041	0000013c
00010001	00040007	00020042	00000190
00010000	00040007	00030043	00000194
